complex_id;camera_place;lat;lon;Тип участка;place_type;Тип дороги;road_type;Населенный пункт;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg;aav_speed;aav_belts;aav_all
782;Ленина просп., д.52/6с1, (перекресток пр-кт Михаила Нагибина - пр-кт Ленина), г. Ростов-На-Дону, Ростовская обл.;47.249785;39.712442;перекресток;0;муниципальная;3;да;1;6;26000;26000;26000;26000;0;0;11,8736
972;Соколова просп., д.47/171, (от дома 45 до дома 62/186), г. Ростов-На-Дону, Ростовская обл.;47.228333;39.719167;линейный;1;муниципальная;3;да;1;4;0;0;0;0;0;0;9,3275
963;Привокзальная пл., д.2/1, г. Ростов-На-Дону, Ростовская обл.;47.217778;39.695;линейный;1;муниципальная;3;да;1;6;0;0;0;0;0;0;6,15
790;Буденновский просп., д.58/19, (перекресток пр-кт Буденновский - ул. Красноармейская), г. Ростов-На-Дону, Ростовская обл.;47.226062;39.704808;перекресток;0;муниципальная;3;да;1;6;0;0;0;0;0;0;4,1082
882;ул.Большая Садовая, д.71/16, (перекресток пр-кт Ворошиловский - ул. Большая Садовая), г. Ростов-На-Дону, Ростовская обл.;47.222279;39.718564;перекресток;0;муниципальная;3;да;1;8;22400;22400;22400;22400;0;0;2,829
1087;Ворошиловский просп., д.29/83, г. Ростов-На-Дону, Ростовская обл.;47.21924;39.72009;перекресток;0;муниципальная;3;да;1;6;0;0;0;0;0;0;2,7224
910;Буденновский просп., д.52/111, (перекресток пр-кт Буденновский - ул. Максима Горького), г. Ростов-На-Дону, Ростовская обл.;47.224608;39.705464;перекресток;0;муниципальная;3;да;1;6;0;0;0;0;0;0;2,5666
909;ул.Большая Садовая, д.43/32, (перекресток пр-кт Буденновский - ул. Большая Садовая), г. Ростов-На-Дону, Ростовская обл.;47.219923;39.707525;перекресток;0;муниципальная;3;да;1;6;22400;22400;22400;22400;0;0;2,186666667
890;Ворошиловский просп., д.75/124, (перекресток пр-кт Ворошиловский - ул. Максима Горького), г. Ростов-На-Дону, Ростовская обл.;47.226997;39.716577;перекресток;0;муниципальная;3;да;1;8;0;0;0;0;0;0;1,1726
1065;ул.Курская, д.1/1, (железнодорожный переезд), г. Ростов-На-Дону, Ростовская обл.;47.241654;39.671599;линейный;1;муниципальная;3;да;1;2;5600;5600;5600;5600;0;0;0,76875
1090;Сиверса просп., (въезд на ул. Красноармейская, д.16), г. Ростов-На-Дону, Ростовская обл.;47.222142;39.692688;линейный;1;муниципальная;3;да;1;2;0;0;0;0;0;0;0,738
1089;Театральный просп., д.85, г. Ростов-На-Дону, Ростовская обл.;47.234989;39.738338;линейный;1;муниципальная;3;да;1;5;0;0;0;0;0;0;0,656
1088;ул.Текучева, д.298, (северная сторона), г. Ростов-На-Дону, Ростовская обл.;47.237197;39.717196;перекресток;0;муниципальная;3;да;1;4;0;0;0;0;0;0;0,4715
1091;ул.Большая Садовая, д.6, г. Ростов-На-Дону, Ростовская обл.;47.217936;39.697579;линейный;1;муниципальная;3;да;1;4;22400;22400;22400;22400;0;0;0,41
1093;40-Летия Победы просп., (ул. Петрожицкого, д.2А, 130 м. западнее), г. Ростов-На-Дону, Ростовская обл.;47.247656;39.843632;линейный;1;муниципальная;3;да;1;4;33600;33600;33600;33600;0;0;0,3075
1098;Шолохова просп., д.316, (северная сторона), г. Ростов-На-Дону, Ростовская обл.;47.273536;39.822228;линейный;1;муниципальная;3;да;1;4;22400;22400;22400;22400;0;0;0,2255
1066;Октябрьский пер., д.3, (железнодорожный переезд), х. Мержаново, Неклиновский р-н, Ростовская обл.;47.29007;39.14434;линейный;1;муниципальная;3;да;1;2;71;71;71;71;0;0;0,1804
1092;"ул.Левобережная, д.5В, (стадион ""Ростов-Арена""), г. Ростов-На-Дону, Ростовская обл.";47.21091;39.729309;линейный;1;муниципальная;3;да;1;3;8800;8800;8800;8800;0;0;0,1435
965;Шолохова просп., д.31/6А, (от дома 126К до дома 128), г. Ростов-На-Дону, Ростовская обл.;47.242564;39.764166;линейный;1;муниципальная;3;да;1;4;0;0;0;0;0;0;0,0615
